RSN               TOTAL LEVEL   DATE JOINED                              RANK                         NEW RANK
==============================================================================================================
Nostalgic486         2719       Joined Sun 11th November 18              Owner                            N/A
Vulpes Zerda         2714       Joined Fri 19th October 18               General                          N/A
Rusty Wc             2708       Joined Sat 19th January 19               Recruit                     Sergeant
xBlackyChan          2625       Joined Thu 1st November 18               Admin                            N/A
Annabellum           2575       Joined Sun 13th January 19               Corporal                    Sergeant
worthwhile2          2477       Joined Sat 29th September 18             Deputy Owner                     N/A
Anarchist94          2353       Joined Wed 24th October 18               Overseer                         N/A
NamelessLord         2268       Joined Sun 18th March 18                 Deputy Owner                     N/A
Shaunspawn           2256       Joined Thu 29th November 18              General                          N/A
Thegodcy             2246       Joined Tue 4th December 18               Coordinator                      N/A
Purlow 1494          2216       Joined Wed 26th September 18             Organiser                        N/A
Sodaholic            2205       Joined Thu 13th December 18              Lieutenant                   Captain
Chilsta69            2160       Joined Sun 18th March 18                 General                          N/A
kappa_95             2121       Joined Mon 14th January 19               Recruit                     Sergeant
Sypher Orax          2110       Joined Sun 7th October 18                Captain                          N/A
Lunarclub696         2089       Joined Fri 4th January 19                Sergeant                  Lieutenant
Slymie Sam           2076       Joined Thu 29th November 18              Admin                            N/A
SBF                  2074       Joined Fri 30th November 18              General                          N/A
Mikeu5717            2042       Joined Sat 29th September 18             Captain                          N/A
R U 486              2029       Joined Wed 24th October 18               Overseer                         N/A
Coco1170             2017       Joined Thu 29th November 18              Captain                          N/A
XxJukOxX             2016       Joined Sun 18th March 18                 General                          N/A
mady I green         2003       Joined Sun 18th March 18                 Captain                          N/A
EngBrett             1997       Joined Wed 14th November 18              General                          N/A
Cloven Rose          1997       Joined Thu 4th October 18                Admin                            N/A
abyssal crip         1980       Joined Tue 11th December 18              Lieutenant                   Captain
Spysh Craro          1974       Joined Fri 26th October 18               General                          N/A
Blocksmage98         1929       Joined Tue 11th December 18              Lieutenant                   Captain
lost season          1865       Joined Tue 30th October 18               General                          N/A
McSauce              1860       Joined Wed 7th November 18               Captain                          N/A
MoxAlpha             1859       Joined Wed 24th October 18               General                          N/A
Higher Angel         1857       Joined Mon 24th September 18             Captain                          N/A
DreamBelieve         1857       Joined Tue 11th December 18              Lieutenant                   Captain
Ligma Actual         1854       Joined Sat 6th October 18                Captain                          N/A
Rangerclub96         1852       Joined Wed 19th September 18             Captain                          N/A
Rhagnal              1844       Joined Thu 29th November 18              Captain                          N/A
69razor96            1825       Joined Thu 1st November 18               General                          N/A
mage_girl80          1824       Joined Wed 9th January 19                Recruit                     Sergeant
Telsien              1808       Joined Thu 8th November 18               General                          N/A
Arnolds112           1807       Joined Sat 1st December 18               Captain                          N/A
I2isk                1805       Joined Sun 23rd September 18             Captain                          N/A
R8O                  1785       Joined Thu 6th December 18               Admin                            N/A
camieletje95         1759       Joined Wed 3rd October 18                General                          N/A
Maxxcoolada          1745       Joined Sun 9th December 18               Captain                          N/A
Slayer Taskz         1695       Joined Sat 17th November 18              Captain                          N/A
Rocky2278            1685       Joined Tue 30th October 18               Captain                          N/A
davidkr6987          1673       Joined Fri 16th November 18              Captain                          N/A
HngryTrshPnd         1670       Joined Thu 29th November 18              Captain                          N/A
wildrose48           1669       Joined Thu 29th November 18              Captain                      General
Satsurie             1641       Joined Thu 29th November 18              Captain                          N/A
Mhiike               1640       Joined Sun 23rd September 18             Captain                          N/A
Nuguya               1638       Joined Tue 11th December 18              Lieutenant                   Captain
Shades 12345         1596       Joined Fri 23rd March 18                 Captain                          N/A
Epicsaurus           1593       Joined Thu 6th December 18               Captain                          N/A
Trippy Wiz           1581       Joined Sun 4th November 18               General                          N/A
Targitaos            1549       Joined Thu 29th November 18              Captain                      General
CryptoReaper         1545       Joined Thu 29th November 18              Lieutenant                   Captain
Nuke Em40            1527       Joined Thu 29th November 18              Captain                          N/A
Blackgem2            1520       Joined Wed 14th November 18              Lieutenant                   Captain
Obi Wan sky          1517       Joined Sat 29th September 18             Captain                          N/A
HiLordFoot           1502       Joined Sun 9th December 18               Captain                          N/A
Turdbird             1479       Joined Fri 9th November 18               Lieutenant                       N/A
Jhartke              1467       Joined Sat 19th January 19               Recruit                     Sergeant
Foxtroter15          1456       Joined Sun 16th December 18              Lieutenant                       N/A
SierraHeart3         1449       Joined Sun 18th March 18                 Lieutenant                       N/A
Ayyy B0sss           1446       Joined Wed 14th November 18              Lieutenant                       N/A
ObiWanKenoli         1395       Joined Tue 30th October 18               Lieutenant                       N/A
King Vageta          1394       Joined Tue 18th September 18             Lieutenant                       N/A
Bel Zarka            1390       Joined Wed 14th November 18              Lieutenant                       N/A
Missynoobsay         1367       Joined Sat 15th December 18              Lieutenant                       N/A
Rozzcodub            1343       Joined Wed 14th November 18              Lieutenant                       N/A
Diceguy113           1303       Joined Thu 29th November 18              Lieutenant                       N/A
Tyuwal               1269       Joined Thu 4th October 18                Lieutenant                       N/A
Herry pooter         1254       Joined Wed 3rd October 18                Lieutenant                       N/A
Slayer64z            1215       Joined Mon 29th October 18               Lieutenant                       N/A
Tykiller40O0         1201       Joined Wed 24th October 18               Lieutenant                       N/A
Austinirle0          1198       Joined Wed 14th November 18              Lieutenant                       N/A
Lagertha92           1183       Joined Mon 17th September 18             Lieutenant                       N/A
Kurosuo              1172       Joined Tue 30th October 18               Lieutenant                       N/A
EadigKida            1167       Joined Tue 11th December 18              Lieutenant                       N/A
StMendel             1157       Joined Fri 26th October 18               Lieutenant                       N/A
Stiffshadow          1147       Joined Wed 14th November 18              Lieutenant                       N/A
DHGxB0NGR1PS         1140       Joined Fri 21st September 18             Lieutenant                       N/A
36 Elite 466         1132       Joined Thu 4th October 18                Lieutenant                       N/A
showusyaclam         1020       Joined Sun 23rd September 18             Lieutenant                       N/A
R1ckyS4an1sh         1010       Joined Sun 16th December 18              Lieutenant                       N/A
sarahpwn678           986       Joined Mon 29th October 18               Lieutenant                       N/A
tribethunder          985       Joined Thu 29th November 18              Lieutenant                       N/A
Green 3ggs            964       Joined Wed 14th November 18              Lieutenant                       N/A
Krolmog               936       Joined Thu 29th November 18              Lieutenant                       N/A
Nuggoo                932       Joined Sat 15th December 18              Sergeant                  Lieutenant
Barrowsslays          922       Joined Tue 30th October 18               Lieutenant                       N/A
Eyondel               901       Joined Thu 29th November 18              Lieutenant                       N/A
Savagi                885       Joined Tue 11th December 18              Sergeant                         N/A
OwariBaransu          873       Joined Sun 9th December 18               Sergeant                         N/A
Steal Calco           857       Joined Wed 24th October 18               Sergeant                         N/A
Hearthside            825       Joined Wed 24th October 18               Sergeant                         N/A
UIM Eevee             814       Joined Tue 11th December 18              Sergeant                         N/A
Dionoxys              809       Joined Sun 15th April 18                 Sergeant                         N/A
Mystic Tyr            773       Joined Sun 2nd December 18               Sergeant                         N/A
Midayade              768       Joined Thu 29th November 18              Sergeant                         N/A
BeardedSteve          752       Joined Wed 7th November 18               Sergeant                         N/A
sunashri              672       Joined Sat 1st December 18               Sergeant                         N/A
Moxette               653       Joined Sat 17th November 18              Sergeant                         N/A
J 10hp                613       Joined Wed 14th November 18              Sergeant                         N/A
donmadman             596       Joined Wed 24th October 18               Sergeant                         N/A
RedFallLeaf           569       Joined Fri 26th October 18               Corporal                         N/A
Astroahh              557       Joined Thu 29th November 18              Corporal                         N/A
Ash1111338            536       Joined Mon 29th October 18               Corporal                         N/A
Xleron7               521       Joined Sat 8th December 18               Corporal                         N/A
Dragfire1406          517       Joined Mon 29th October 18               Corporal                         N/A
kaztheking            508       Joined Tue 30th October 18               Corporal                         N/A
RAM DODGE             507       Joined Tue 20th March 18                 Corporal                         N/A
RatedG281             478       Joined Wed 24th October 18               Corporal                         N/A
LightDivined          465       Joined Fri 14th December 18              Corporal                         N/A
MysticWyvern          428       Joined Fri 30th November 18              Corporal                         N/A
BabyG1993             416       Joined Tue 11th December 18              Corporal                         N/A
Astereks              407       Joined Tue 9th October 18                Corporal                         N/A
oki but no            400       Joined Tue 11th December 18              Corporal                         N/A
Mag3 Qu33n4           381       Joined Wed 21st November 18              Corporal                         N/A
Indica2               334       Joined Thu 29th November 18              Corporal                         N/A
SUMNS1                302       Joined Wed 19th September 18             Corporal                         N/A
Guister01             289       Joined Thu 29th November 18              Corporal                         N/A
Sairren               226       Joined Tue 30th October 18               Corporal                         N/A
laurm0r               222       Joined Thu 29th November 18              Corporal                         N/A
Duh Monk              146       Joined Wed 12th December 18              Corporal                         N/A
Arctic_Fox25          142       Joined Wed 14th November 18              Corporal                         N/A
xWhiteyChan           136       Joined Thu 1st November 18               Corporal                         N/A
